OrderID,CustomerName,CustomerEmail,City,OrderDate,Product,Quantity,Discount(%),TotalPrice($),PaymentMethod,Shipped
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,garzaanthony@example.org,East William,2024-04-29,Smartphone,3,5,2280.0,Credit Card,Yes
b38a088c-a65e-4389-b74d-0fb132e70629,Connie Lawrence,blakeerik@example.com,Joshuaborough,2025-04-05,Keyboard,4,0,400.0,Debit Card,Yes
6142ea7d-17be-4111-9a2a-73ed562b0f79,Ryan Munoz,blairamanda@example.com,New Kellystad,2024-11-17,Monitor,3,0,900.0,Debit Card,Yes
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Dylan Miller,michellejames@example.com,Franciscostad,2024-07-05,Smartphone,1,5,760.0,Google Pay,Yes
aefcfad8-efc8-4849-b3aa-7efe4458a885,Lisa Jackson,frankgray@example.net,Lake Mark,2025-01-26,Smartphone,2,0,1600.0,Google Pay,Yes
0837b8a3-d261-47ab-baa2-e4f90e51f30d,Jennifer Jones,jason76@example.net,Thomasberg,2024-07-19,Desk Chair,2,0,400.0,Credit Card,Yes
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Stephanie Ross,wendytaylor@example.com,Port Brandonville,2024-06-14,Laptop,1,5,1140.0,Credit Card,Yes
6c12ace8-ae34-4454-8ac5-b68c28f49481,Janice Carlson,jrice@example.org,Lake Nicoleview,2025-01-26,Monitor,1,0,300.0,Debit Card,Yes
6f4cc69a-4b22-4308-9c8e-aee95715bd6f,Aaron Bowen,teresa28@example.org,Meaganhaven,2024-11-28,External Hard Drive,3,0,270.0,Google Pay,Yes
295b4715-c333-4861-9fb8-d16c2720797d,Paula Moreno,georgetracy@example.org,Natashaport,2024-07-16,Laptop,4,0,4800.0,Google Pay,Yes
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,Nicholas Cabrera,davidalvarez@example.net,West Allison,2024-11-28,Monitor,3,5,855.0,Google Pay,Yes
8a0f4efb-edcd-465e-b638-6821f6e07cc0,Melissa Marquez,pcarney@example.com,Lammouth,2024-06-03,Desk Chair,4,0,800.0,Debit Card,Yes
05628059-568c-469b-9064-005c3985c3cf,Crystal Robinson,zimmermanbrian@example.org,Port Markhaven,2024-07-16,Webcam,3,5,342.0,Google Pay,Yes
8a0b3c33-36d8-493a-bc44-1fe7ab4220a7,Timothy Duncan,esanchez@example.com,North Collin,2024-09-24,Keyboard,2,10,180.0,Credit Card,No
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Megan Joyce,brownjessica@example.org,East James,2024-10-01,Headphones,2,0,300.0,Apple Pay,Yes
766ecb15-474e-4c19-aef9-12766c006f61,Thomas Ramos,williamsyvette@example.org,Port Melindaburgh,2024-09-15,Mouse,2,5,95.0,PayPal,Yes
66aa9385-dd59-4a71-b6b8-24817b3a4e3e,Carmen Smith,ybaker@example.com,Rodneyside,2024-12-18,Headphones,3,5,427.5,Debit Card,Yes
4bf50b52-309d-458c-a7a0-c3d77c967f79,Anthony Fitzgerald,adkinsbrian@example.net,Shawhaven,2024-06-16,Mouse,3,10,135.0,Credit Card,Yes
d9f195d0-1482-4f53-8201-0c62f5f59b22,Kurt Leonard,richarddavid@example.net,New Brooke,2024-12-02,Smartphone,4,5,3040.0,Apple Pay,Yes
90b2b633-956b-4c0c-a849-9b926b5252e3,Taylor Harris,john62@example.net,Stephenland,2024-04-23,Smartphone,2,0,1600.0,PayPal,Yes
ff002d4d-9020-49e4-bf9a-b5c29f044aed,Joshua Wagner,sarahibarra@example.org,Justinmouth,2025-02-19,Mouse,3,10,135.0,Google Pay,Yes
fbddcf7c-9c96-49ec-8d71-c366b41b3143,Miss Aimee Montoya,sarah12@example.com,North Juliaberg,2024-07-28,Keyboard,2,10,180.0,Credit Card,Yes
57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,Mark Baker,dking@example.org,Calderonton,2024-04-21,Webcam,4,0,480.0,Google Pay,Yes
fad409e2-a319-4cb4-a17d-65a0c56811cd,Patrick Arnold,hhoffman@example.org,New Barry,2024-09-02,Smartphone,4,0,3200.0,Apple Pay,Yes
20a04502-6e06-4097-a5e9-79778d7248e2,Jacob Fitzpatrick,nolanjason@example.org,West Kimberlychester,2025-04-11,Smartphone,4,5,3040.0,Google Pay,Yes
ee0caeb5-ecfe-4b99-a790-cebdbfddc3d9,Christopher Marsh,nicolejohnson@example.net,Kimberlychester,2025-02-07,Keyboard,4,0,400.0,Google Pay,Yes
3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,Richard Rodriguez,garrisonjeffrey@example.com,Kevinbury,2024-07-10,Mouse,4,0,200.0,Google Pay,Yes
5408f9ac-6601-4dd0-b170-f437a8f7ef5a,Benjamin Ayala,darlene68@example.com,North Natalieview,2024-06-24,Monitor,1,0,300.0,Credit Card,No
09cb3942-43f5-4a85-bbc9-f87af668a617,Jeffrey Chandler,samuel81@example.com,West Bradley,2024-09-26,Laptop,4,0,4800.0,Debit Card,Yes
89d7fd6c-ce77-4f00-acf2-7e7685197ff4,Teresa Mclaughlin,michaeljones@example.net,Cindyville,2025-01-08,Keyboard,3,10,270.0,Credit Card,Yes
aab97e49-4f2d-4796-81d2-c7de4ce1eb90,James Phillips,jamesortega@example.com,New Ashley,2024-09-15,Monitor,3,5,855.0,Credit Card,Yes
49732d6c-4dca-4fb7-801a-9a8bd56f0350,Richard Lawson,steven73@example.net,Leonburgh,2024-12-17,Desk Chair,2,0,400.0,PayPal,Yes
a2086977-a9f2-4336-83f4-a9a948a639d0,Anna Crane,emilywalker@example.org,North Brandon,2025-04-15,Webcam,3,10,324.0,PayPal,Yes
12a4def0-c4bb-47a9-9988-68dd9c7c7377,Stephen Johnston,psnyder@example.org,Port Michelleville,2025-01-29,Headphones,1,0,150.0,PayPal,Yes
f53d4330-cdda-44ba-ad06-e8cf3805f907,Julie Grant,bryantlaurie@example.net,Stephaniemouth,2024-11-30,Mouse,4,5,190.0,Debit Card,Yes
6d3ee1dc-8139-4443-a45b-712eb8225688,Kimberly Merritt,wcole@example.org,Katiehaven,2024-10-14,Keyboard,2,10,180.0,Credit Card,Yes
13d5f2f7-709b-4d97-864c-04af3d3f3799,Cynthia Rogers,taylorjesse@example.net,Lake Jason,2024-09-18,Headphones,1,15,127.5,Google Pay,Yes
6a702e2f-7746-40ba-8ae8-905b54b4a482,Ross Price,gateskathy@example.com,Smithstad,2024-08-07,Monitor,1,0,300.0,Debit Card,Yes
f41402b1-e442-4ebb-9a7b-909563d62a39,Kimberly Navarro,tracynelson@example.com,South Matthewfurt,2025-01-10,Webcam,3,0,360.0,Apple Pay,Yes
20ac3703-eb67-446a-b7a6-e17cd72b6108,Ms. Susan Vargas,millerroy@example.com,North Jorge,2024-08-17,Keyboard,2,0,200.0,Google Pay,Yes
